,sample,substrate,year,branch,point,BP,BPS,YBP,YS,old_name
Y15B02P24WD,Y15B02P24WD,inner_bark,Y15,B02,P24,B02P24,B02P24WD,Y15B02P24,Y15WD,15B02P24MSCS37
Y15B02P25BK,Y15B02P25BK,outer_bark,Y15,B02,P25,B02P25,B02P25BK,Y15B02P25,Y15BK,15B02P25BRKS101
Y15B02P25DM,Y15B02P25DM,dead_bryos,Y15,B02,P25,B02P25,B02P25DM,Y15B02P25,Y15DM,15B02P25DMOS47
Y15B02P25LM,Y15B02P25LM,live_bryos,Y15,B02,P25,B02P25,B02P25LM,Y15B02P25,Y15LM,15B02P25LMOS115
Y15B02P26BK,Y15B02P26BK,outer_bark,Y15,B02,P26,B02P26,B02P26BK,Y15B02P26,Y15BK,15B02P26BRKS102
Y15B02P26DM,Y15B02P26DM,dead_bryos,Y15,B02,P26,B02P26,B02P26DM,Y15B02P26,Y15DM,15B02P26DMOS48
Y15B02P26LM,Y15B02P26LM,live_bryos,Y15,B02,P26,B02P26,B02P26LM,Y15B02P26,Y15LM,15B02P26LMOS114
Y15B02P27BK,Y15B02P27BK,outer_bark,Y15,B02,P27,B02P27,B02P27BK,Y15B02P27,Y15BK,15B02P27BRKS103
Y15B02P27LM,Y15B02P27LM,live_bryos,Y15,B02,P27,B02P27,B02P27LM,Y15B02P27,Y15LM,15B02P27LMOS113
Y15B03P01BK,Y15B03P01BK,outer_bark,Y15,B03,P01,B03P01,B03P01BK,Y15B03P01,Y15BK,15B03P01BRKS104
Y15B03P01DM,Y15B03P01DM,dead_bryos,Y15,B03,P01,B03P01,B03P01DM,Y15B03P01,Y15DM,15B03P01DMOS52
Y15B03P01LM,Y15B03P01LM,live_bryos,Y15,B03,P01,B03P01,B03P01LM,Y15B03P01,Y15LM,15B03P01LMOS112
Y15B03P02BK,Y15B03P02BK,outer_bark,Y15,B03,P02,B03P02,B03P02BK,Y15B03P02,Y15BK,15B03P02BRKS105
Y15B03P02DM,Y15B03P02DM,dead_bryos,Y15,B03,P02,B03P02,B03P02DM,Y15B03P02,Y15DM,15B03P02DMOS53
Y15B03P02LM,Y15B03P02LM,live_bryos,Y15,B03,P02,B03P02,B03P02LM,Y15B03P02,Y15LM,15B03P02LMOS111
Y15B03P03BK,Y15B03P03BK,outer_bark,Y15,B03,P03,B03P03,B03P03BK,Y15B03P03,Y15BK,15B03P03BRKS106
Y15B03P03DM,Y15B03P03DM,dead_bryos,Y15,B03,P03,B03P03,B03P03DM,Y15B03P03,Y15DM,15B03P03DMOS54
Y15B03P04BK,Y15B03P04BK,outer_bark,Y15,B03,P04,B03P04,B03P04BK,Y15B03P04,Y15BK,15B03P04BRKS107
Y15B03P04DM,Y15B03P04DM,dead_bryos,Y15,B03,P04,B03P04,B03P04DM,Y15B03P04,Y15DM,15B03P04DMOS55
Y15B03P04LM,Y15B03P04LM,live_bryos,Y15,B03,P04,B03P04,B03P04LM,Y15B03P04,Y15LM,15B03P04LMOS110
Y15B03P08BK,Y15B03P08BK,outer_bark,Y15,B03,P08,B03P08,B03P08BK,Y15B03P08,Y15BK,15B03P08BRKS111
Y15B03P08LM,Y15B03P08LM,live_bryos,Y15,B03,P08,B03P08,B03P08LM,Y15B03P08,Y15LM,15B03P08LMOS107
Y15B03P13BK,Y15B03P13BK,outer_bark,Y15,B03,P13,B03P13,B03P13BK,Y15B03P13,Y15BK,15B03P13BRKS116
Y15B03P13LM,Y15B03P13LM,live_bryos,Y15,B03,P13,B03P13,B03P13LM,Y15B03P13,Y15LM,15B03P13LMOS102
Y15B03P13WD,Y15B03P13WD,inner_bark,Y15,B03,P13,B03P13,B03P13WD,Y15B03P13,Y15WD,15B03P13MSCS53
Y15B03P14BK,Y15B03P14BK,outer_bark,Y15,B03,P14,B03P14,B03P14BK,Y15B03P14,Y15BK,15B03P14BRKS117
Y15B03P14DM,Y15B03P14DM,dead_bryos,Y15,B03,P14,B03P14,B03P14DM,Y15B03P14,Y15DM,15B03P14DMOS62
Y15B03P14LM,Y15B03P14LM,live_bryos,Y15,B03,P14,B03P14,B03P14LM,Y15B03P14,Y15LM,15B03P14LMOS101
Y15B03P15BK,Y15B03P15BK,outer_bark,Y15,B03,P15,B03P15,B03P15BK,Y15B03P15,Y15BK,15B03P15BRKS118
Y15B03P15DM,Y15B03P15DM,dead_bryos,Y15,B03,P15,B03P15,B03P15DM,Y15B03P15,Y15DM,15B03P15DMOS63
Y15B03P16BK,Y15B03P16BK,outer_bark,Y15,B03,P16,B03P16,B03P16BK,Y15B03P16,Y15BK,15B03P16BRKS119
Y15B03P20BK,Y15B03P20BK,outer_bark,Y15,B03,P20,B03P20,B03P20BK,Y15B03P20,Y15BK,15B03P20BRKS123
Y15B03P20DM,Y15B03P20DM,dead_bryos,Y15,B03,P20,B03P20,B03P20DM,Y15B03P20,Y15DM,15B03P20DMOS68
Y15B03P24BK,Y15B03P24BK,outer_bark,Y15,B03,P24,B03P24,B03P24BK,Y15B03P24,Y15BK,15B03P24BRKS127
Y15B03P24DM,Y15B03P24DM,dead_bryos,Y15,B03,P24,B03P24,B03P24DM,Y15B03P24,Y15DM,15B03P24DMOS72
Y15B03P24LM,Y15B03P24LM,live_bryos,Y15,B03,P24,B03P24,B03P24LM,Y15B03P24,Y15LM,15B03P24LMOS98
Y15B03P25BK,Y15B03P25BK,outer_bark,Y15,B03,P25,B03P25,B03P25BK,Y15B03P25,Y15BK,15B03P25BRKS128
Y15B03P25DM,Y15B03P25DM,dead_bryos,Y15,B03,P25,B03P25,B03P25DM,Y15B03P25,Y15DM,15B03P25DMOS49
Y15B03P25LM,Y15B03P25LM,live_bryos,Y15,B03,P25,B03P25,B03P25LM,Y15B03P25,Y15LM,15B03P25LMOS141
Y15B03P26BK,Y15B03P26BK,outer_bark,Y15,B03,P26,B03P26,B03P26BK,Y15B03P26,Y15BK,15B03P26BRKS129
Y15B03P26DM,Y15B03P26DM,dead_bryos,Y15,B03,P26,B03P26,B03P26DM,Y15B03P26,Y15DM,15B03P26DMOS50
Y15B03P26LM,Y15B03P26LM,live_bryos,Y15,B03,P26,B03P26,B03P26LM,Y15B03P26,Y15LM,15B03P26LMOS1
Y15B03P27BK,Y15B03P27BK,outer_bark,Y15,B03,P27,B03P27,B03P27BK,Y15B03P27,Y15BK,15B03P27BRKS130
Y15B03P27DM,Y15B03P27DM,dead_bryos,Y15,B03,P27,B03P27,B03P27DM,Y15B03P27,Y15DM,15B03P27DMOS51
Y15B03P27LM,Y15B03P27LM,live_bryos,Y15,B03,P27,B03P27,B03P27LM,Y15B03P27,Y15LM,15B03P27LMOS2
Y15B04P01BK,Y15B04P01BK,outer_bark,Y15,B04,P01,B04P01,B04P01BK,Y15B04P01,Y15BK,15B04P01BRKS131
Y15B04P01DM,Y15B04P01DM,dead_bryos,Y15,B04,P01,B04P01,B04P01DM,Y15B04P01,Y15DM,15B04P01DMOS73
Y15B04P01LM,Y15B04P01LM,live_bryos,Y15,B04,P01,B04P01,B04P01LM,Y15B04P01,Y15LM,15B04P01LMOS3
Y15B04P01WD,Y15B04P01WD,inner_bark,Y15,B04,P01,B04P01,B04P01WD,Y15B04P01,Y15WD,15B04P01MSCS68
Y15B04P02BK,Y15B04P02BK,outer_bark,Y15,B04,P02,B04P02,B04P02BK,Y15B04P02,Y15BK,15B04P02BRKS132
Y15B04P02DM,Y15B04P02DM,dead_bryos,Y15,B04,P02,B04P02,B04P02DM,Y15B04P02,Y15DM,15B04P02DMOS74
Y15B04P02LM,Y15B04P02LM,live_bryos,Y15,B04,P02,B04P02,B04P02LM,Y15B04P02,Y15LM,15B04P02LMOS4
Y15B04P03BK,Y15B04P03BK,outer_bark,Y15,B04,P03,B04P03,B04P03BK,Y15B04P03,Y15BK,15B04P03BRKS133
Y15B04P03DM,Y15B04P03DM,dead_bryos,Y15,B04,P03,B04P03,B04P03DM,Y15B04P03,Y15DM,15B04P03DMOS75
Y15B04P03LM,Y15B04P03LM,live_bryos,Y15,B04,P03,B04P03,B04P03LM,Y15B04P03,Y15LM,15B04P03LMOS5
Y15B04P04BK,Y15B04P04BK,outer_bark,Y15,B04,P04,B04P04,B04P04BK,Y15B04P04,Y15BK,15B04P04BRKS134
Y15B04P04DM,Y15B04P04DM,dead_bryos,Y15,B04,P04,B04P04,B04P04DM,Y15B04P04,Y15DM,15B04P04DMOS139
