,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu5497,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,
Otu4570,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Hypochnicium,
Otu5429,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu5521,Fungi,Ascomycota,Sordariomycetes,,,,
Otu4983,Fungi,Ascomycota,Dothideomycetes,,,,
Otu4202,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu4861,Fungi,Ascomycota,Dothideomycetes,,,,
Otu4389,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu4516,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu4607,Fungi,Ascomycota,,,,,
Otu5480,Fungi,Ascomycota,,,,,
Otu5283,Fungi,Basidiomycota,,,,,
Otu4388,Fungi,Ascomycota,,,,,
Otu11011,Fungi,Ascomycota,Eurotiomycetes,,,,
Otu4416,Fungi,Ascomycota,Sordariomycetes,,,,
Otu5061,Fungi,Ascomycota,,,,,
Otu4369,Fungi,Ascomycota,,,,,
Otu4006,Fungi,Ascomycota,,,,,
Otu3203,Fungi,Ascomycota,,,,,
Otu4768,Fungi,,,,,,
Otu4956,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Gyrophanopsis,
Otu6861,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,unidentified,
Otu3617,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_chaetospira
Otu3720,Fungi,Basidiomycota,Pucciniomycetes,Platygloeales,Eocronartiaceae,Eocronartium,unidentified
Otu5556,Fungi,Basidiomycota,Agaricomycetes,Polyporales,unidentified,unidentified,unidentified
Otu3668,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Arthrobotrys,Arthrobotrys_vermicola
Otu5075,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,unidentified
Otu4640,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,unidentified,unidentified
Otu3910,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,
Otu9382,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,
Otu4287,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,,,
Otu10753,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu4818,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,,,
Otu4912,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,,,
Otu3305,Fungi,Ascomycota,Dothideomycetes,,,,
Otu5224,Fungi,Ascomycota,Dothideomycetes,,,,
Otu3797,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu6437,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu4474,Fungi,Ascomycota,,,,,
Otu5817,Fungi,Ascomycota,,,,,
Otu4381,Fungi,Ascomycota,Sordariomycetes,,,,
Otu3540,Fungi,Ascomycota,Sordariomycetes,,,,
Otu6307,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu6837,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu3251,Fungi,,,,,,
Otu5328,Fungi,,,,,,
Otu4087,Fungi,,,,,,
Otu3448,Fungi,,,,,,
Otu5828,Fungi,,,,,,
Otu4077,Fungi,Ascomycota,,,,,
Otu5493,Fungi,,,,,,
Otu5217,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Thozetella,
Otu4815,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Schizopora,
Otu5967,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Vararia,
Otu3848,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,
Otu4378,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Phialophora,
Otu3680,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Gloiothele,
Otu4886,Fungi,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,
Otu3523,Fungi,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,Microdochium_phragmitis
Otu5090,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Volutella,unidentified
Otu5195,Fungi,Rozellomycota,unidentified,unidentified,unidentified,unidentified,unidentified
Otu3449,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,
Otu4183,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,
Otu4149,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,
Otu10941,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,
Otu10593,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
Otu3852,Fungi,Ascomycota,Sordariomycetes,,,,
Otu4540,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu4747,Fungi,Basidiomycota,Tremellomycetes,,,,
Otu5143,Fungi,Ascomycota,Sordariomycetes,,,,
Otu3154,Fungi,Ascomycota,Dothideomycetes,Capnodiales,,,
Otu5467,Fungi,Basidiomycota,,,,,
Otu5584,Fungi,Ascomycota,,,,,
Otu4989,Fungi,Ascomycota,,,,,
Otu5145,Fungi,Basidiomycota,,,,,
Otu4252,Fungi,Ascomycota,,,,,
Otu2968,Fungi,,,,,,
Otu4164,Fungi,,,,,,
Otu4776,Fungi,,,,,,
Otu3736,Fungi,Ascomycota,,,,,
Otu4728,Fungi,Basidiomycota,,,,,
Otu4003,Fungi,Ascomycota,,,,,
Otu3774,Fungi,,,,,,
Otu2985,Fungi,,,,,,
Otu6016,Fungi,,,,,,
Otu6494,Fungi,,,,,,
Otu7332,Fungi,,,,,,
Otu3777,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Vararia,
Otu3667,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,
Otu6548,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chloridium,
Otu3871,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Haptocillium,
Otu3166,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,unidentified,unidentified
Otu4246,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Plenodomus,Plenodomus_biglobosus
Otu7677,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Stictidaceae,unidentified,unidentified
Otu4893,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,,
Otu5087,Fungi,Basidiomycota,Pucciniomycetes,Septobasidiales,Septobasidiaceae,,
Otu4509,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Schizoporaceae,,
Otu5037,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremataceae,,
Otu11196,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
Otu4705,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Otu5943,Fungi,Chytridiomycota,Rhizophydiomycetes,,,,
Otu10779,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
Otu10548,Fungi,Ascomycota,Sordariomycetes,,,,
Otu3837,Fungi,Ascomycota,Sordariomycetes,,,,
Otu5518,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu3516,Fungi,,,,,,
Otu4218,Fungi,,,,,,
Otu3224,Fungi,Ascomycota,,,,,
Otu7138,Fungi,Ascomycota,,,,,
Otu8714,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,
Otu3576,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Ascovirgaria,
Otu3637,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,unidentified,
Otu4182,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus_parvibicolor
Otu3363,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Hemimycena,Hemimycena_lactea
Otu4894,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Trechispora_stellulata
Otu3554,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Cora,unidentified
Otu3407,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,unidentified,unidentified
Otu3151,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Xenogliocladiopsis,Xenogliocladiopsis_cypellocarpae
Otu3951,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellales_fam_Incertae_sedis,Minimedusa,Minimedusa_polyspora
Otu4811,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota_squarrosoides
Otu6421,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,Thelonectria_lucida
Otu10594,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,unidentified,unidentified
Otu4966,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,,
Otu4752,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,
Otu6403,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,
Otu4655,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,
Otu10193,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,
Otu5202,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,
Otu3817,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
Otu3728,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,
Otu3844,Fungi,Ascomycota,Pezizomycetes,Pezizales,,,
Otu7607,Fungi,Ascomycota,Eurotiomycetes,,,,
Otu10379,Fungi,Ascomycota,Dothideomycetes,,,,
Otu3474,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,,,
Otu7191,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Otu6382,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,,,
Otu4880,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Otu7415,Fungi,Ascomycota,,,,,
Otu4481,Fungi,Basidiomycota,,,,,
Otu4224,Fungi,,,,,,
Otu4591,Fungi,,,,,,
Otu3494,Fungi,Ascomycota,,,,,
Otu3635,Fungi,Ascomycota,,,,,
Otu6570,Fungi,Basidiomycota,Pucciniomycetes,unidentified,unidentified,unidentified,
Otu4447,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylaria,
Otu4346,Fungi,Ascomycota,Sordariomycetes,Boliniales,unidentified,unidentified,
Otu5454,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus_androsaceus
Otu3329,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,Ochroconis_lascauxensis
Otu4642,Fungi,Basidiomycota,Agaricomycetes,Russulales,Peniophoraceae,Peniophora,unidentified
Otu6068,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Coriolaceae,,
Otu5627,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,,
Otu4206,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,,
Otu5026,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,
Otu4687,Fungi,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Geastrum,
Otu3666,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,
Otu4311,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,
Otu3937,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,
Otu3670,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
Otu3040,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,
Otu4242,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu6257,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu11126,Fungi,Ascomycota,Dothideomycetes,,,,
Otu4204,Fungi,Ascomycota,Sordariomycetes,,,,
Otu3756,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu5301,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Otu4751,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu4534,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu4037,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
Otu4061,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu4812,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu3447,Fungi,Ascomycota,Sordariomycetes,,,,
Otu3762,Fungi,Ascomycota,,,,,
Otu3344,Fungi,Ascomycota,,,,,
Otu3887,Fungi,,,,,,
Otu3959,Fungi,,,,,,
Otu3249,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Vararia,
Otu3209,Fungi,Ascomycota,Sordariomycetes,Xylariales,unidentified,unidentified,
Otu4150,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,Xenochalara,unidentified
Otu10679,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Cistella,unidentified
Otu7333,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_salmonis
Otu4216,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_rosea
Otu5695,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,Hymenoscyphus_tetracladius
Otu4487,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Catillariaceae,,
Otu4874,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
Otu4298,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,,
Otu6650,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,,
Otu4022,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,
Otu3906,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
Otu4527,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,,
Otu4277,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu4499,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,,,
Otu3796,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Otu5023,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,
Otu4004,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,,,
Otu11279,Fungi,Ascomycota,,,,,
Otu3847,Fungi,Ascomycota,,,,,
Otu3218,Fungi,Ascomycota,,,,,
Otu10982,Fungi,Ascomycota,,,,,
Otu3636,Fungi,Ascomycota,,,,,
Otu4248,Fungi,Ascomycota,Sordariomycetes,,,,
Otu3798,Fungi,Ascomycota,,,,,
Otu4203,Fungi,Ascomycota,,,,,
Otu4235,Fungi,Basidiomycota,,,,,
Otu3789,Fungi,Ascomycota,,,,,
Otu3292,Fungi,Ascomycota,,,,,
Otu3486,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,
Otu3740,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Hyphodontia,
Otu10836,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,unidentified,
Otu3470,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Crepidotaceae,Crepidotus,Crepidotus_applanatus
Otu3353,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Kretzschmaria,unidentified
Otu4053,Fungi,Basidiomycota,Exobasidiomycetes,Entylomatales,unidentified,unidentified,unidentified
Otu7543,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,
Otu4134,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,,,
Otu5507,Fungi,Ascomycota,Lecanoromycetes,,,,
Otu5502,Fungi,Ascomycota,,,,,
Otu4929,Fungi,Ascomycota,,,,,
Otu10504,Fungi,Ascomycota,,,,,
Otu10521,Fungi,Ascomycota,,,,,
Otu3933,Fungi,,,,,,
Otu4395,Fungi,Ascomycota,,,,,
Otu5870,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,
Otu4610,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Marasmiellus,
Otu3755,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Tubeufia,
Otu3361,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Biatriosporaceae,Biatriospora,Biatriospora_mackinnonii
Otu3866,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,Periconia_macrospinosa
Otu3829,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,Sticta_cometia
Otu2975,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora_lusitaniae
Otu3759,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,,
Otu4300,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,
Otu4036,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,
Otu3659,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,
Otu4234,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,
Otu5276,Fungi,Ascomycota,Leotiomycetes,,,,
Otu4537,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu4742,Fungi,Ascomycota,Leotiomycetes,,,,
Otu3546,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Otu3037,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu3824,Fungi,Basidiomycota,,,,,
Otu3806,Fungi,Ascomycota,,,,,
Otu3566,Fungi,Ascomycota,,,,,
Otu4635,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu3487,Fungi,,,,,,
Otu3501,Fungi,,,,,,
Otu4238,Fungi,,,,,,
Otu3768,Fungi,Ascomycota,,,,,
Otu3352,Fungi,Ascomycota,,,,,
Otu3397,Fungi,Ascomycota,,,,,
Otu6050,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,unidentified,
Otu3929,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,unidentified,unidentified,
Otu3831,Fungi,Ascomycota,Leotiomycetes,Helotiales,Leotiaceae,Alatospora,
Otu4270,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,
Otu6330,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,
Otu3204,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Vararia,
Otu3539,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Biscogniauxia,unidentified
Otu5077,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,unidentified,unidentified
Otu4151,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hypholoma,Hypholoma_fasciculare
Otu4690,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,Umbelopsis_gibberispora
Otu5257,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,unidentified,unidentified
Otu5992,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,,
Otu6232,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Hymenochaete,
Otu4749,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,,
Otu3934,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,
Otu5218,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,
Otu5617,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,
Otu3744,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,,,
Otu3524,Fungi,Ascomycota,Dothideomycetes,Pleosporales,,,
Otu3587,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,
Otu3326,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
Otu3721,Fungi,Ascomycota,,,,,
Otu4955,Fungi,Ascomycota,,,,,
Otu3660,Fungi,Basidiomycota,,,,,
Otu3674,Fungi,Ascomycota,Sordariomycetes,,,,
Otu4114,Fungi,,,,,,
Otu4596,Fungi,,,,,,
Otu4067,Fungi,,,,,,
Otu4662,Fungi,,,,,,
Otu4173,Fungi,,,,,,
Otu3528,Fungi,Ascomycota,,,,,
Otu3425,Fungi,Ascomycota,,,,,
Otu4928,Fungi,Ascomycota,,,,,
Otu3677,Fungi,Ascomycota,,,,,
Otu4191,Fungi,Ascomycota,,,,,
Otu5443,Fungi,,,,,,
Otu2965,Fungi,,,,,,
Otu4400,Fungi,,,,,,
Otu4603,Fungi,,,,,,
Otu7485,Fungi,,,,,,
Otu3215,Fungi,Basidiomycota,Cystobasidiomycetes,Erythrobasidiales,Erythrobasidiales_fam_Incertae_sedis,Hasegawazyma,
Otu4178,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,
Otu3273,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Vararia,
Otu4600,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,
Otu3808,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,
Otu3455,Fungi,Mortierellomycota,unidentified,unidentified,unidentified,unidentified,unidentified
Otu6260,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Pilocarpaceae,Fellhanera,Fellhanera_bouteillei
Otu4941,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,unidentified
Otu3703,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Orbilia_aristata
Otu8445,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_melinii
Otu3493,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,,
Otu5478,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,Kurtzmanomyces,
Otu4441,Fungi,Ascomycota,Dothideomycetes,Dothideomycetidae_ord_Incertae_sedis,,,
Otu4576,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,,,
Otu3678,Fungi,Ascomycota,Leotiomycetes,,,,
Otu3816,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,
Otu5654,Fungi,Ascomycota,,,,,
Otu3801,Fungi,Ascomycota,,,,,
Otu3525,Fungi,Ascomycota,Sordariomycetes,,,,
Otu3492,Fungi,Basidiomycota,,,,,
Otu6274,Fungi,Ascomycota,,,,,
Otu6816,Fungi,,,,,,
Otu3452,Fungi,,,,,,
Otu5159,Fungi,,,,,,
Otu5959,Fungi,,,,,,
Otu3319,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,
Otu5320,Fungi,Basidiomycota,Agaricomycetes,Russulales,Lachnocladiaceae,Vararia,
Otu7639,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,
Otu8141,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,unidentified,
Otu9336,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Nemania,
Otu5089,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Berkleasmium,unidentified
Otu3564,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Astrocystis,Astrocystis_sublimbata
Otu3399,Fungi,Basidiomycota,Tremellomycetes,Holtermanniales,Holtermanniales_fam_Incertae_sedis,Holtermanniella,Holtermanniella_takashimae
Otu4166,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Lipomycetaceae,,
Otu4000,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,,
Otu5561,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,,
Otu4897,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Exidiaceae,,
Otu4845,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,
Otu3440,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,
Otu4495,Fungi,Basidiomycota,Agaricomycetes,Polyporales,,,
Otu3836,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,,
Otu3522,Fungi,Ascomycota,Dothideomycetes,,,,
Otu3870,Fungi,Basidiomycota,Tremellomycetes,,,,
Otu3345,Fungi,Ascomycota,Dothideomycetes,,,,
Otu5866,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,,,
Otu10454,Fungi,Ascomycota,,,,,
Otu8044,Fungi,Ascomycota,,,,,
Otu3263,Fungi,Ascomycota,,,,,
Otu7066,Fungi,,,,,,
Otu3312,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Hyalorbilia,
Otu3283,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_ord_Incertae_sedis,Sordariomycetes_fam_Incertae_sedis,Conlarium,
Otu3620,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,unidentified,unidentified
Otu3653,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Volucrispora,Volucrispora_graminea
Otu6969,Fungi,Entomophthoromycota,Basidiobolomycetes,Basidiobolales,Basidiobolaceae,Basidiobolus,Basidiobolus_magnus
Otu5679,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Piskurozyma,unidentified
Otu3978,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Chionosphaeraceae,,
Otu3392,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu11496,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_fam_Incertae_sedis,,
Otu4357,Fungi,Ascomycota,Leotiomycetes,,,,
Otu3792,Fungi,Basidiomycota,Agaricomycetes,,,,
Otu3974,Fungi,Ascomycota,Sordariomycetes,,,,
Otu3754,Fungi,Ascomycota,Dothideomycetes,,,,
Otu4219,Fungi,Basidiomycota,Tremellomycetes,,,,
Otu4027,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,
Otu5832,Fungi,Ascomycota,,,,,
Otu5531,Fungi,Ascomycota,,,,,
Otu3857,Fungi,Ascomycota,Sordariomycetes,,,,
Otu4557,Fungi,Ascomycota,Sordariomycetes,,,,
Otu3651,Fungi,Basidiomycota,,,,,
Otu9188,Fungi,Ascomycota,,,,,
Otu3120,Fungi,Ascomycota,,,,,
Otu3687,Fungi,Ascomycota,,,,,
Otu4095,Fungi,,,,,,
Otu3909,Fungi,,,,,,
