BP,substrate,BPS,years,temp.dist,BC.dist,jac.dist,beta.sim,beta.sne,beta.sor,beta.jtu,beta.jne,beta.jac
B02P08,live_bryos,B02P08LM,Y1517,2,0.98147413,0.947368421,0.896907216,0.003092784,0.9,0.945652174,0.001716247,0.947368421
B02P13,live_bryos,B02P13LM,Y1517,2,0.971459077,0.926666667,0.8,0.063354037,0.863354037,0.888888889,0.037777778,0.926666667
B02P14,live_bryos,B02P14LM,Y1517,2,0.892658435,0.862637363,0.685534591,0.072919515,0.758454106,0.813432836,0.049204527,0.862637363
B02P20,live_bryos,B02P20LM,Y1517,2,0.887903778,0.932270916,0.701754386,0.171379942,0.873134328,0.824742268,0.107528648,0.932270916
B02P24,live_bryos,B02P24LM,Y1517,2,0.799521076,0.888337469,0.788732394,0.010374748,0.799107143,0.881889764,0.006447705,0.888337469
B02P25,live_bryos,B02P25LM,Y1517,2,0.908137393,0.928205128,0.83625731,0.029771398,0.866028708,0.910828025,0.017377103,0.928205128
B02P26,live_bryos,B02P26LM,Y1517,2,0.865718143,0.884615385,0.715,0.078103448,0.793103448,0.833819242,0.050796143,0.884615385
B03P01,live_bryos,B03P01LM,Y1517,2,0.85274161,0.934328358,0.78,0.0967507,0.8767507,0.876404494,0.057923864,0.934328358
B03P02,live_bryos,B03P02LM,Y1517,2,0.943888012,0.899456522,0.73381295,0.083471001,0.817283951,0.846473029,0.052983493,0.899456522
B03P04,live_bryos,B03P04LM,Y1517,2,0.991448167,0.9375,0.855769231,0.02658371,0.882352941,0.922279793,0.015220207,0.9375
B03P08,live_bryos,B03P08LM,Y1517,2,0.984104363,0.945804196,0.647727273,0.24945349,0.897180763,0.786206897,0.159597299,0.945804196
B03P13,live_bryos,B03P13LM,Y1517,2,0.901499595,0.906028369,0.513761468,0.314439505,0.828200972,0.678787879,0.22724049,0.906028369
B03P14,live_bryos,B03P14LM,Y1517,2,0.852375801,0.918205805,0.763358779,0.085421709,0.848780488,0.865800866,0.052404939,0.918205805
B03P24,live_bryos,B03P24LM,Y1517,2,0.973024192,0.945422535,0.723214286,0.173279871,0.896494157,0.839378238,0.106044297,0.945422535
